department,course_num,section,semester,year,timeslot
CSE,512,30,Summer,2020,TUTH 09:30AM-12:55PM
CSE,522,01,Summer,2020,
CSE,523,01,Summer,2020,
CSE,524,01,Summer,2020,
CSE,587,01,Summer,2020,
CSE,593,01,Summer,2020,
CSE,596,01,Summer,2020,
CSE,597,01,Summer,2020,
CSE,599,01,Summer,2020,
CSE,696,01,Summer,2020,
CSE,698,01,Summer,2020,
CSE,699,01,Summer,2020,
ESE,597,20,Summer,2020,
ESE,599,24,Summer,2020,
ESE,697,24,Summer,2020,
ESE,698,03,Summer,2020,
ESE,699,20,Summer,2020,
ESE,800,20,Summer,2020,
AMS,519,01,Summer,2020,
AMS,575,01,Summer,2020,
AMS,599,02,Summer,2020,
AMS,676,01,Summer,2020,
AMS,699,01,Summer,2020,
BMI,596,01,Summer,2020,
BMI,598,01,Summer,2020,
BMI,599,01,Summer,2020,
BMI,696,30,Summer,2020,
BMI,699,01,Summer,2020,
