department,course_num,section,semester,year,timeslot
CSE,504,1,Fall,2021,M 06:05PM-09:00PM
CSE,505,1,Fall,2021,TUTH 08:00AM-09:20AM
CSE,509,1,Fall,2021,TUTH 11:30AM-12:50PM
CSE,510,1,Fall,2021,MW 10:00AM-11:20AM
CSE,512,1,Fall,2021,MW 04:25PM-05:45PM
CSE,518,1,Fall,2021,F 10:00AM-12:50PM
CSE,519,1,Fall,2021,TUTH 09:45AM-11:05AM
CSE,519,30,Fall,2021,TUTH 09:45AM-11:05AM
CSE,522,1,Fall,2021,
CSE,523,52,Fall,2021,
CSE,524,41,Fall,2021,
CSE,527,1,Fall,2021,TUTH 06:30PM-07:50PM
CSE,529,2,Fall,2021,TUTH 03:00PM-04:20PM
CSE,532,1,Fall,2021,MW 06:05PM-07:25PM
CSE,534,1,Fall,2021,MW 08:30AM-09:50AM
CSE,535,1,Fall,2021,MW 11:40AM-01:00PM
CSE,537,1,Fall,2021,MF 01:00PM-02:20PM
CSE,538,1,Fall,2021,TUTH 03:00PM-04:20PM
CSE,541,1,Fall,2021,TUTH 08:15PM-09:35PM
CSE,548,1,Fall,2021,MW 02:40PM-04:00PM
CSE,582,1,Fall,2021,TUTH 04:45PM-06:05PM
CSE,587,1,Fall,2021,
CSE,590,1,Fall,2021,TUTH 06:30PM-07:50PM
CSE,593,41,Fall,2021,
CSE,594,1,Fall,2021,MW 07:50PM-09:10PM
CSE,596,4,Fall,2021,
CSE,597,1,Fall,2021,
CSE,599,41,Fall,2021,
CSE,600,1,Fall,2021,F 02:40PM-03:35PM
CSE,696,3,Fall,2021,
CSE,697,1,Fall,2021,
CSE,698,41,Fall,2021,
CSE,699,41,Fall,2021,
CSE,700,39,Fall,2021,
AMS,500,1,Fall,2021,W 11:45AM-12:40PM
CSE,701,39,Fall,2021,
AMS,501,1,Fall,2021,MW 06:05PM-07:25PM
AMS,503,1,Fall,2021,MW 02:40PM-04:00PM
AMS,507,1,Fall,2021,TUTH 03:00PM-04:20PM
AMS,510,1,Fall,2021,TUTH 09:45AM-11:05AM
AMS,511,1,Fall,2021,W 02:40PM-05:30PM
AMS,514,2,Fall,2021,F 01:00PM-03:35PM
AMS,516,1,Fall,2021,MW 02:40PM-04:00PM
AMS,518,2,Fall,2021,TH 01:15PM-04:05PM
AMS,519,1,Fall,2021,SUP 01:00AM-01:00AM
AMS,520,1,Fall,2021,W 06:05PM-08:55PM
AMS,526,1,Fall,2021,MW 04:25PM-05:45PM
AMS,531,1,Fall,2021,
AMS,532,1,Fall,2021,W 11:45AM-12:40PM
AMS,535,1,Fall,2021,MW 02:40PM-04:00PM
AMS,539,1,Fall,2021,MWF 11:45AM-12:40PM
AMS,540,2,Fall,2021,TUTH 01:15PM-02:35PM
AMS,542,1,Fall,2021,MW 02:40PM-04:00PM
AMS,553,2,Fall,2021,TUTH 03:00PM-04:20PM
AMS,556,1,Fall,2021,TUTH 11:30AM-12:50PM
AMS,560,1,Fall,2021,TUTH 09:45AM-11:05AM
AMS,562,2,Fall,2021,MF 01:00PM-02:20PM
AMS,571,1,Fall,2021,MW 10:30AM-11:50AM
AMS,572,2,Fall,2021,TUTH 11:30AM-12:50PM
AMS,575,21,Fall,2021,SUP 01:00AM-01:00AM
AMS,582,1,Fall,2021,TUTH 01:15PM-02:35PM
AMS,585,1,Fall,2021,
AMS,586,1,Fall,2021,TUTH 08:00AM-09:20AM
AMS,595,1,Fall,2021,TUTH 08:15PM-09:35PM
AMS,598,1,Fall,2021,MW 07:50PM-09:10PM
AMS,599,32,Fall,2021,
AMS,676,6,Fall,2021,
AMS,691,2,Fall,2021,TH 05:45PM-08:40PM
AMS,698,8,Fall,2021,
AMS,699,29,Fall,2021,
AMS,700,28,Fall,2021,
AMS,701,22,Fall,2021,
BMI,501,1,Fall,2021,TU 03:30PM-06:20PM
BMI,502,1,Fall,2021,TH 03:30PM-06:20PM
BMI,503,1,Fall,2021,M 09:30AM-12:20PM
BMI,514,1,Fall,2021,M 01:30PM-04:20PM
BMI,530,1,Fall,2021,W 09:30AM-11:30AM
BMI,540,1,Fall,2021,TU 08:00AM-10:50AM
BMI,550,1,Fall,2021,TH 12:00PM-01:50PM
BMI,590,1,Fall,2021,
BMI,592,1,Fall,2021,W 03:00PM-04:00PM
BMI,595,1,Fall,2021,TU 02:00PM-02:50PM
BMI,596,1,Fall,2021,
BMI,598,1,Fall,2021,
BMI,599,1,Fall,2021,
BMI,692,1,Fall,2021,W 03:00PM-04:00PM
BMI,697,1,Fall,2021,
BMI,698,1,Fall,2021,
BMI,699,1,Fall,2021,
BMI,700,1,Fall,2021,
BMI,701,1,Fall,2021,
ESE,502,1,Fall,2021,M 06:05PM-09:00PM
ESE,503,1,Fall,2021,W 06:05PM-07:25PM
ESE,505,1,Fall,2021,TU 04:45PM-07:35PM
ESE,507,1,Fall,2021,MW 04:25PM-05:45PM
ESE,509,1,Fall,2021,M 04:25PM-07:15PM
ESE,511,1,Fall,2021,TU 04:45PM-07:35PM
ESE,516,1,Fall,2021,W 04:25PM-07:15PM
ESE,525,1,Fall,2021,TUTH 11:30AM-12:50PM
ESE,528,1,Fall,2021,TUTH 04:45PM-06:05PM
