department,course_num,section,semester,year,timeslot
CSE,699,1,Spring,2021,
AMS,699,1,Spring,2021,
BMI,699,1,Spring,2021,
ESE,699,5,Spring,2021,
CSE,698,1,Spring,2021,
AMS,698,8,Spring,2021,
BMI,698,2,Spring,2021,
ESE,698,10,Spring,2021,
ESE,697,16,Spring,2021,
CSE,696,1,Spring,2021,
BMI,692,1,Spring,2021,W 03:00PM-04:00PM
AMS,676,1,Spring,2021,
ESE,670,2,Spring,2021,
CSE,659,1,Spring,2021,M 11:45AM-01:00PM
CSE,658,1,Spring,2021,M 10:30AM-11:30AM
CSE,658,2,Spring,2021,M 10:30AM-11:30AM
CSE,656,1,Spring,2021,W 04:25PM-05:45PM
CSE,655,30,Spring,2021,F 01:00PM-02:20PM
CSE,655,2,Spring,2021,F 01:00PM-02:20PM
CSE,648,30,Spring,2021,TU 11:30AM-12:50PM
CSE,645,1,Spring,2021,TH 11:30AM-12:50PM
CSE,645,2,Spring,2021,TH 11:30AM-12:50PM
CSE,643,1,Spring,2021,TH 09:00PM-10:00PM
CSE,642,1,Spring,2021,F 11:45AM-12:55PM
AMS,603,1,Spring,2021,TU 01:15PM-04:05PM
CSE,600,1,Spring,2021,F 02:40PM-03:35PM
CSE,600,2,Spring,2021,F 02:40PM-03:35PM
CSE,599,1,Spring,2021,
AMS,599,1,Spring,2021,
BMI,599,1,Spring,2021,
ESE,599,5,Spring,2021,
BMI,598,1,Spring,2021,
AMS,597,1,Spring,2021,TUTH 09:45AM-11:05AM
AMS,597,2,Spring,2021,TUTH 09:45AM-11:05AM
ESE,597,34,Spring,2021,
CSE,596,1,Spring,2021,
BMI,596,1,Spring,2021,
CSE,595,1,Spring,2021,MW 02:40PM-04:00PM
CSE,595,2,Spring,2021,MW 02:40PM-04:00PM
CSE,593,3,Spring,2021,
BMI,592,1,Spring,2021,W 03:00PM-04:00PM
ESE,588,1,Spring,2021,M 06:05PM-08:55PM
CSE,587,1,Spring,2021,
ESE,586,1,Spring,2021,M 06:05PM-09:10PM
CSE,582,1,Spring,2021,TUTH 11:30AM-12:50PM
CSE,582,2,Spring,2021,TUTH 11:30AM-12:50PM
AMS,580,1,Spring,2021,TUTH 08:00AM-09:20AM
AMS,580,2,Spring,2021,TUTH 08:00AM-09:20AM
AMS,578,1,Spring,2021,TUTH 01:15PM-02:35PM
AMS,578,2,Spring,2021,TUTH 01:15PM-02:35PM
AMS,575,1,Spring,2021,
AMS,573,1,Spring,2021,MW 07:50PM-09:10PM
AMS,573,2,Spring,2021,MW 07:50PM-09:10PM
AMS,570,1,Spring,2021,TUTH 08:00AM-09:20AM
AMS,570,2,Spring,2021,TUTH 08:00AM-09:20AM
AMS,569,1,Spring,2021,TUTH 11:30AM-12:50PM
CSE,566,1,Spring,2021,W 02:40PM-05:30PM
CSE,566,2,Spring,2021,W 02:40PM-05:30PM
CSE,564,1,Spring,2021,TUTH 08:15PM-09:35PM
CSE,564,2,Spring,2021,TUTH 08:15PM-09:35PM
AMS,561,1,Spring,2021,MW 10:30AM-11:50AM
AMS,559,1,Spring,2021,MW 04:25PM-05:45PM
ESE,558,1,Spring,2021,W 04:25PM-07:15PM
CSE,555,1,Spring,2021,TUTH 09:45AM-11:05AM
AMS,555,1,Spring,2021,MW 04:25PM-05:45PM
CSE,551,1,Spring,2021,MW 04:25PM-05:45PM
AMS,550,1,Spring,2021,TUTH 06:30PM-07:50PM
CSE,548,2,Spring,2021,MW 04:25PM-05:45PM
CSE,548,1,Spring,2021,MW 04:25PM-05:45PM
AMS,548,1,Spring,2021,MW 04:25PM-05:45PM
AMS,548,2,Spring,2021,MW 04:25PM-05:45PM
AMS,545,1,Spring,2021,TUTH 09:45AM-11:05AM
AMS,545,2,Spring,2021,TUTH 09:45AM-11:05AM
ESE,545,1,Spring,2021,TH 06:30PM-09:20PM
CSE,544,1,Spring,2021,TUTH 01:15PM-02:35PM
CSE,544,2,Spring,2021,TUTH 01:15PM-02:35PM
ESE,544,1,Spring,2021,TH 06:30PM-09:20PM
ESE,543,1,Spring,2021,TUTH 03:00PM-04:20PM
AMS,542,2,Spring,2021,MW 04:25PM-05:45PM
AMS,542,1,Spring,2021,MW 04:25PM-05:45PM
ESE,538,1,Spring,2021,TU 06:30PM-09:20PM
AMS,537,1,Spring,2021,TUTH 03:00PM-04:20PM
AMS,536,1,Spring,2021,MW 02:40PM-04:00PM
AMS,534,1,Spring,2021,TUTH 11:30AM-12:50PM
AMS,533,1,Spring,2021,M 10:30AM-01:20PM
AMS,533,2,Spring,2021,M 10:30AM-01:20PM
ESE,533,1,Spring,2021,W 02:40PM-05:30PM
CSE,532,1,Spring,2021,TUTH 06:30PM-07:50PM
CSE,532,2,Spring,2021,TUTH 06:30PM-07:50PM
ESE,532,1,Spring,2021,M 02:40PM-05:30PM
AMS,531,1,Spring,2021,
ESE,531,1,Spring,2021,W 06:05PM-09:00PM
ESE,530,1,Spring,2021,TH 06:30PM-09:35PM
CSE,528,2,Spring,2021,MW 06:05PM-07:25PM
CSE,528,1,Spring,2021,MW 06:05PM-07:25PM
AMS,528,1,Spring,2021,MW 08:30AM-09:50AM
AMS,528,2,Spring,2021,MW 08:30AM-09:50AM
CSE,527,1,Spring,2021,MW 07:50PM-09:10PM
CSE,527,2,Spring,2021,MW 07:50PM-09:10PM
AMS,527,1,Spring,2021,MW 04:25PM-05:45PM
AMS,527,2,Spring,2021,MW 04:25PM-05:45PM
CSE,526,1,Spring,2021,MF 01:00PM-02:20PM
CSE,526,2,Spring,2021,MF 01:00PM-02:20PM
CSE,525,2,Spring,2021,TUTH 01:15PM-02:35PM
CSE,525,1,Spring,2021,TUTH 01:15PM-02:35PM
CSE,524,1,Spring,2021,
CSE,523,2,Spring,2021,
AMS,523,30,Spring,2021,F 01:00PM-03:50PM
CSE,522,1,Spring,2021,
AMS,522,1,Spring,2021,TUTH 03:00PM-04:20PM
BMI,520,1,Spring,2021,TUTH 03:30PM-05:00PM
AMS,519,1,Spring,2021,
AMS,517,1,Spring,2021,MW 07:50PM-09:10PM
AMS,517,2,Spring,2021,MW 07:50PM-09:10PM
BMI,517,1,Spring,2021,TU 09:00AM-10:30AM
AMS,515,1,Spring,2021,TUTH 06:30PM-07:50PM
ESE,515,1,Spring,2021,TH 06:30PM-09:20PM
AMS,513,1,Spring,2021,MW 06:05PM-07:25PM
AMS,513,2,Spring,2021,MW 06:05PM-07:25PM
BMI,513,1,Spring,2021,M 09:30AM-12:30PM
ESE,513,1,Spring,2021,M 06:05PM-08:55PM
CSE,512,1,Spring,2021,TUTH 09:45AM-11:05AM
CSE,512,2,Spring,2021,TUTH 09:45AM-11:05AM
AMS,512,30,Spring,2021,M 02:40PM-05:30PM
AMS,512,1,Spring,2021,M 02:40PM-05:30PM
BMI,512,2,Spring,2021,TH 12:00PM-03:00PM
