sbu_id,department,course_num,section,semester,year,grade
109245727,BMI,592,1.0,Spring,2021,A
109245727,BMI,551,1.0,Spring,2021,B-
109245727,BMI,598,1.0,Spring,2021,B+
109245727,BMI,596,1.0,Spring,2021,A
366920424,BMI,592,1.0,Spring,2021,A-
366920424,BMI,520,1.0,Spring,2021,B+
366920424,BMI,598,1.0,Spring,2021,C
847006941,BMI,592,1.0,Spring,2021,B+
847006941,BMI,520,1.0,Spring,2021,A-
847006941,BMI,599,1.0,Spring,2021,C+
250883609,BMI,592,1.0,Spring,2021,B
250883609,BMI,520,1.0,Spring,2021,C+
655351657,BMI,592,1.0,Spring,2021,C+
655351657,BMI,520,1.0,Spring,2021,C
462944459,BMI,592,1.0,Spring,2021,B+
462944459,BMI,511,1.0,Spring,2021,B+
649613464,BMI,592,1.0,Spring,2021,B-
649613464,BMI,551,1.0,Spring,2021,B-
498587525,BMI,592,1.0,Spring,2021,A
498587525,BMI,551,1.0,Spring,2021,B+
498587525,BMI,598,1.0,Spring,2021,B
934341119,BMI,592,1.0,Spring,2021,B
934341119,BMI,520,1.0,Spring,2021,B-
934341119,BMI,599,1.0,Spring,2021,A
934341119,BMI,517,1.0,Spring,2021,C+
284141957,BMI,592,1.0,Spring,2021,C
284141957,BMI,517,1.0,Spring,2021,A-
557418308,BMI,592,1.0,Spring,2021,C+
557418308,BMI,511,1.0,Spring,2021,A
557418308,BMI,520,1.0,Spring,2021,C
381592708,BMI,592,1.0,Spring,2021,A
381592708,BMI,551,1.0,Spring,2021,A-
381592708,BMI,598,1.0,Spring,2021,B+
558966516,BMI,592,1.0,Spring,2021,C+
240904727,BMI,592,1.0,Spring,2021,B+
240904727,BMI,513,1.0,Spring,2021,B-
240904727,BMI,520,1.0,Spring,2021,C+
472853599,BMI,592,1.0,Spring,2021,A
472853599,BMI,520,1.0,Spring,2021,C
649674568,BMI,592,1.0,Spring,2021,A-
649674568,BMI,520,1.0,Spring,2021,C+
560290403,BMI,592,1.0,Spring,2021,B+
560290403,BMI,520,1.0,Spring,2021,C+
560290403,BMI,599,1.0,Spring,2021,B-
560290403,BMI,596,1.0,Spring,2021,B-
287147215,BMI,592,1.0,Spring,2021,A
287147215,BMI,520,1.0,Spring,2021,B
287147215,BMI,599,1.0,Spring,2021,B-
287147215,BMI,517,1.0,Spring,2021,A-
738967829,BMI,592,1.0,Spring,2021,C+
738967829,BMI,598,1.0,Spring,2021,B-
738967829,BMI,517,1.0,Spring,2021,C
651989238,BMI,592,1.0,Spring,2021,C
651989238,BMI,511,1.0,Spring,2021,A
965410051,BMI,592,1.0,Spring,2021,B
965410051,BMI,511,1.0,Spring,2021,C
179806112,BMI,592,1.0,Spring,2021,B+
179806112,BMI,598,1.0,Spring,2021,C
179806112,BMI,596,1.0,Spring,2021,A
799055385,BMI,592,1.0,Spring,2021,C+
799055385,BMI,512,2.0,Spring,2021,A-
799055385,BMI,551,1.0,Spring,2021,C+
799055385,BMI,598,1.0,Spring,2021,A
283471349,BMI,592,1.0,Spring,2021,C
283471349,BMI,512,2.0,Spring,2021,A-
283471349,BMI,551,1.0,Spring,2021,A-
283471349,BMI,598,1.0,Spring,2021,C
802334638,BMI,592,1.0,Spring,2021,B+
802334638,BMI,512,2.0,Spring,2021,B
680506134,BMI,592,1.0,Spring,2021,B
680506134,BMI,513,1.0,Spring,2021,A-
570530843,BMI,592,1.0,Spring,2021,A
570530843,BMI,513,1.0,Spring,2021,C
570530843,BMI,520,1.0,Spring,2021,C+
121239659,BMI,592,1.0,Spring,2021,B
121239659,BMI,513,1.0,Spring,2021,A-
548374391,BMI,592,1.0,Spring,2021,C+
548374391,BMI,511,1.0,Spring,2021,A
184853102,BMI,592,1.0,Spring,2021,C+
184853102,BMI,511,1.0,Spring,2021,C+
432154136,BMI,592,1.0,Spring,2021,A-
432154136,BMI,513,1.0,Spring,2021,B
813632005,BMI,592,1.0,Spring,2021,C+
813632005,BMI,512,2.0,Spring,2021,B
813632005,BMI,551,1.0,Spring,2021,B+
887121716,BMI,592,1.0,Spring,2021,C+
887121716,BMI,513,1.0,Spring,2021,B+
820394067,BMI,592,1.0,Spring,2021,A-
820394067,BMI,512,2.0,Spring,2021,A-
