sbu_id,department,course_num,section,semester,year,grade
150549838,ESE,512,1.0,Spring,2021,B+
541140239,ESE,545,1.0,Spring,2021,C+
541140239,ESE,597,34.0,Spring,2021,C+
537901245,ESE,545,1.0,Spring,2021,B-
910968353,ESE,599,5.0,Spring,2021,C
910968353,ESE,670,2.0,Spring,2021,B-
910968353,ESE,533,1.0,Spring,2021,B+
757245696,ESE,599,5.0,Spring,2021,B-
757245696,ESE,597,34.0,Spring,2021,A
757245696,ESE,543,1.0,Spring,2021,A-
757245696,ESE,545,1.0,Spring,2021,C+
549675301,ESE,530,1.0,Spring,2021,C
549675301,ESE,513,1.0,Spring,2021,C+
549675301,ESE,543,1.0,Spring,2021,C+
549675301,ESE,531,1.0,Spring,2021,C
549675301,ESE,597,34.0,Spring,2021,A-
460656551,ESE,588,1.0,Spring,2021,A-
460656551,ESE,545,1.0,Spring,2021,A
831148713,ESE,512,1.0,Spring,2021,B-
826450718,ESE,544,1.0,Spring,2021,B-
826450718,ESE,538,1.0,Spring,2021,B+
826450718,ESE,670,2.0,Spring,2021,A-
192469140,ESE,533,1.0,Spring,2021,B+
192469140,ESE,545,1.0,Spring,2021,C+
834868265,ESE,545,1.0,Spring,2021,A-
834868265,ESE,597,34.0,Spring,2021,B
326743466,ESE,597,34.0,Spring,2021,A-
326743466,ESE,545,1.0,Spring,2021,B-
484004367,ESE,599,5.0,Spring,2021,A-
484004367,ESE,533,1.0,Spring,2021,B
484004367,ESE,538,1.0,Spring,2021,A
484004367,ESE,545,1.0,Spring,2021,C+
539215410,ESE,599,5.0,Spring,2021,B
539215410,ESE,588,1.0,Spring,2021,B
539215410,ESE,597,34.0,Spring,2021,C+
539215410,ESE,543,1.0,Spring,2021,B-
326302313,ESE,599,5.0,Spring,2021,C
326302313,ESE,533,1.0,Spring,2021,A
326302313,ESE,545,1.0,Spring,2021,A-
365138693,ESE,558,1.0,Spring,2021,A-
365138693,ESE,513,1.0,Spring,2021,A
709546225,ESE,599,5.0,Spring,2021,A-
709546225,ESE,513,1.0,Spring,2021,C+
699371250,ESE,588,1.0,Spring,2021,A-
699371250,ESE,545,1.0,Spring,2021,C+
699371250,ESE,533,1.0,Spring,2021,C
958375651,ESE,543,1.0,Spring,2021,B-
251325854,ESE,545,1.0,Spring,2021,B
796271649,ESE,670,2.0,Spring,2021,B-
796271649,ESE,538,1.0,Spring,2021,C
796271649,ESE,545,1.0,Spring,2021,C
904145961,ESE,545,1.0,Spring,2021,B
904145961,ESE,513,1.0,Spring,2021,C+
881411837,ESE,597,34.0,Spring,2021,C+
756542479,ESE,586,1.0,Spring,2021,B+
756542479,ESE,545,1.0,Spring,2021,C+
472531055,ESE,530,1.0,Spring,2021,A
947676399,ESE,545,1.0,Spring,2021,B-
219122235,ESE,530,1.0,Spring,2021,A
219122235,ESE,599,5.0,Spring,2021,C
219122235,ESE,586,1.0,Spring,2021,C
219122235,ESE,538,1.0,Spring,2021,C+
797498379,ESE,599,5.0,Spring,2021,A
797498379,ESE,586,1.0,Spring,2021,B
797498379,ESE,545,1.0,Spring,2021,C+
834976942,ESE,533,1.0,Spring,2021,A
834976942,ESE,599,5.0,Spring,2021,A
834976942,ESE,543,1.0,Spring,2021,B-
791124677,ESE,545,1.0,Spring,2021,B+
791124677,ESE,599,5.0,Spring,2021,A
907509659,ESE,597,34.0,Spring,2021,B+
907509659,ESE,543,1.0,Spring,2021,B
907509659,ESE,545,1.0,Spring,2021,C+
831182444,ESE,545,1.0,Spring,2021,C+
831182444,ESE,538,1.0,Spring,2021,C+
831182444,ESE,586,1.0,Spring,2021,C
481966258,ESE,586,1.0,Spring,2021,C+
481966258,ESE,533,1.0,Spring,2021,A-
481966258,ESE,545,1.0,Spring,2021,C
481966258,ESE,543,1.0,Spring,2021,B
890228439,ESE,530,1.0,Spring,2021,A
890228439,ESE,538,1.0,Spring,2021,B+
890228439,ESE,558,1.0,Spring,2021,A
890228439,ESE,512,1.0,Spring,2021,A-
663977801,ESE,533,1.0,Spring,2021,B
663977801,ESE,530,1.0,Spring,2021,B-
663977801,ESE,599,5.0,Spring,2021,B+
532777296,ESE,515,1.0,Spring,2021,A
981530345,ESE,538,1.0,Spring,2021,B+
981530345,ESE,599,5.0,Spring,2021,C+
981530345,ESE,597,34.0,Spring,2021,A
868251008,ESE,586,1.0,Spring,2021,A
868251008,ESE,599,5.0,Spring,2021,B
868251008,ESE,545,1.0,Spring,2021,B-
566190431,ESE,558,1.0,Spring,2021,B
566190431,ESE,538,1.0,Spring,2021,B-
566190431,ESE,545,1.0,Spring,2021,C
566190431,ESE,597,34.0,Spring,2021,A-
566190431,ESE,513,1.0,Spring,2021,C+
866630540,ESE,588,1.0,Spring,2021,C
866630540,ESE,545,1.0,Spring,2021,B-
866630540,ESE,597,34.0,Spring,2021,B+
255364183,ESE,545,1.0,Spring,2021,C
255364183,ESE,512,1.0,Spring,2021,A
365102754,ESE,530,1.0,Spring,2021,B-
365102754,ESE,538,1.0,Spring,2021,A
708646179,ESE,545,1.0,Spring,2021,B
708646179,ESE,533,1.0,Spring,2021,B-
962797372,ESE,512,1.0,Spring,2021,A-
962797372,ESE,597,34.0,Spring,2021,C
